,Age,Country,Plays,Wikipedia,Current Rank,Best Rank,Name,Backhand,Prize Money,Height,Favorite Surface,Turned Pro,Seasons,Active,Current Elo Rank,Best Elo Rank,Peak Elo Rating,Last Appearance,Titles,GOAT Rank,Best Season,Retired,Masters,Birthplace,Residence,Weight,Coach,Facebook,Twitter,Nicknames,Grand Slams,Davis Cups,Web Site,Team Cups,Olympics,Weeks at No. 1,Tour Finals
10,19 (08-08-2000),Canada,Right-handed,Wikipedia,22 (1701),17 (14-10-2019),Felix Auger Aliassime,Two-handed,"US$1,893,476",,Grass 43%,2017,3,Yes,51 (1926),30 (12-08-2019),1992 (12-08-2019),12-01-2020,,400 (2),2019,,,,,,,,,,,,,,,,
11,23 (11-02-1996),Russian Federation,Right-handed,Wikipedia,4 (5960),4 (09-09-2019),Daniil Medvedev,Two-handed,"US$ 10,507,693",,Hard 47%,2014,5,Yes,5 (2204),4 (14-10-2019),2243 (14-10-2019),11-11-2019,7,109 (27),2019,,2,,,,,,,,,,,,,,
12,28 (28-11-1991),Ecuador,Right-handed,Wikipedia,148 (359),143 (14-10-2019),Emilio Gomez,Two-handed,"$303,458",,Clay 18%,,8,Yes,,149 (10-02-2017),1744 (10-02-2017),06-02-2017,,,,,,,,,,,,,,,,,,,
13,23 (22-02-1996),Germany,Left-handed,Wikipedia,431 (74),319 (15-07-2019),Johannes Haerteis,Two-handed,"$54,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,28 (17-03-1991),Canada,Right-handed,Wikipedia,134 (411),134 (18-11-2019),Steven Diez,,"US$439,427",,,2008,5,Yes,,,,20-05-2019,,,,,,,,,,,,,,,,,,,
15,31 (23-09-1988),Argentina,Right-handed,Wikipedia,121 (460),3 (13-08-2018),Juan Martin Del Potro,Two-handed,"US$25,889,586  11th all-time leader in earnings",198 cm,All-Rounder 5%,2005,14,Yes,4 (2211),3 (07-06-2010),2329 (14-09-2009),17-06-2019,22,33 (109),2009,,1,"Tandil, Argentina","Tandil, Argentina",97 kg,Sebastian Prieto,JuanMartinDelPotro.Ok,@delpotrojuan,"DelPo, Tower of Tandil",1,1,,,,,
16,24 (26-04-1995),Spain,,Wikipedia,375 (99),283 (11-07-2016),Pablo Vivero Gonzalez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,22 (02-05-1997),Australia,Right-handed,Wikipedia,133 (411),132 (04-11-2019),Marc Polmans,Two-handed,"US$507,297",,,,2,Yes,,,,29-07-2019,,,,,,,,,,,,,,,marc-polmans.com,,,,
18,20 (31-08-1999),Serbia,Right-handed,Wikipedia,54 (959),47 (09-09-2019),Miomir Kecmanovic,Two-handed,"$1,285,541",,None 13%,2017,3,Yes,61 (1899),60 (19-08-2019),1908 (19-08-2019),06-01-2020,,,,,,,,,,,,,,,,,,,
19,22 (28-10-1997),United States,Right-handed,Wikipedia,34 (1335),25 (05-08-2019),Taylor Harry Fritz,Two-handed,"US$2,722,314",,"Slow (H, Cl) 15%",2015,6,Yes,56 (1919),29 (05-08-2019),1999 (05-08-2019),12-01-2020,1,489 (1),2019,,,,,,,,,,,,,,,,
20,33 (12-04-1986),Spain,Right-handed,Wikipedia,130 (417),19 (23-07-2012),Marcel Granollers,Two-handed,"$10,821,168",190 cm,"Soft (Cl, G) 13%",2003,14,Yes,121 (1791),29 (04-11-2013),2004 (04-11-2013),16-09-2019,4,264 (6),2011,,,,,,,,,,,,marcelgranollers.com,,,,
21,32 (07-10-1987),United States,Right-handed,Wikipedia,45 (1100),11 (26-02-2018),Sam Querrey,Two-handed,"US$11,912,152",198 cm,Grass 32%,2006,15,Yes,31 (1993),18 (21-04-2013),2068 (16-04-2013),12-01-2020,10,157 (17),2017,,,,,,,,,,,,,,,,
22,30 (20-09-1989),Slovakia,Right-handed,Wikipedia,105 (528),98 (25-07-2016),Andrej Martin,Two-handed,"$898,701",180 cm,Clay 52%,2005,7,Yes,,82 (26-09-2016),1850 (19-08-2016),04-02-2019,,,,,,,,,,,,,,,,,,,
23,30 (30-08-1989),Italy,Right-handed,Wikipedia,172 (294),171 (13-01-2020),Roberto Marcora,One-handed,"$184,328",,,2009,1,,,,,22-05-2017,,,,2017,,,,,,,,,,,,,,,
24,30 (29-11-1989),Sweden,Right-handed,Wikipedia,293 (138),277 (19-08-2019),Markus Eriksson,Two-handed,"$158,269",,Hard 49%,,7,Yes,,175 (20-09-2019),1696 (20-09-2019),20-07-2015,,,,,,,,,,,,,,,,,,,
25,22 (23-03-1997),Italy,Right-handed,Wikipedia,339 (115),312 (12-08-2019),Andrea Pellegrino,Two-handed,"$87,942",,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26 (14-09-1993),Spain,Right-handed,Wikipedia,448 (69),293 (03-03-2014),Andres Artunedo Martinavarr,Two-handed,"$32,892",,,2010,1,,,,,03-02-2014,,,,2014,,,,,,,,,,,,,,,
27,30 (12-11-1989),India,Left-handed,Wikipedia,123 (442),75 (22-04-2019),Prajnesh Gunneswaran,Two-handed,"$631,094",,Hard 18%,,3,Yes,174 (1705),167 (18-03-2019),1721 (18-03-2019),26-08-2019,,,,,,,,,,,,,,,,,,,
28,21 (19-02-1998),Brazil,Right-handed,Wikipedia,388 (93),382 (30-09-2019),Felipe Meligeni Rodrigues Alves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,32 (24-05-1987),Italy,Right-handed,Wikipedia,12 (2310),9 (15-07-2019),Fabio Fognini,Two-handed,"US$13,470,614",178 cm,Clay 20%,2004,16,Yes,29 (2004),14 (15-04-2014),2112 (20-04-2014),13-01-2020,9,151 (18),2019,,1,,,,,,,,,,FabioFognini.eu,,,,
30,24 (15-11-1995),France,Right-handed,Wikipedia,297 (137),291 (06-01-2020),Manuel Guinard,Two-handed,"$100,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,21 (13-08-1998),Argentina,Right-handed,Wikipedia,228 (208),228 (20-01-2020),Francisco Cerundolo,Two-handed,"$43,346",,,2016,1,Yes,,,,11-02-2019,,,,,,,,,,,,,,,,,,,
32,28 (24-01-1992),Serbia,Right-handed,Wikipedia,166 (306),166 (13-01-2020),Danilo Petrovic,Two-handed,"$246,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,20 (16-05-1999),Austria,Left-handed,Wikipedia,331 (117),187 (20-05-2019),Jurij Rodionov,Two-handed,"$127,760",,,,2,Yes,,,,29-07-2019,,,,,,,,,,,,,,,,,,,
34,29 (30-06-1990),Serbia,Right-handed,Wikipedia,27 (1516),23 (29-04-2019),Dusan Lajovic,One-handed,"US$4,850,190",180 cm,Clay 43%,2007,11,Yes,65 (1892),35 (22-04-2019),1962 (22-04-2019),28-10-2019,1,357 (3),2019,,,,,,,,,,,,,1,,,
35,22 (08-05-1997),France,Right-handed,Wikipedia,189 (263),173 (25-11-2019),Maxime Cressy,Two-handed,"$39,679",,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,27 (24-05-1992),Argentina,Right-handed,Wikipedia,384 (94),166 (16-09-2013),Agustin Velotti,,"US$238,848",,,,4,,,,,06-02-2017,,,,2017,,,,,,,,,,,,,,,
37,21 (27-03-1998),"Korea, Republic of",Right-handed,Wikipedia,320 (122),233 (22-07-2019),Yunseong Chung,Two-handed,"$49,635",,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,22 (17-10-1997),Japan,Right-handed,Wikipedia,432 (74),238 (07-08-2017),Yusuke Takahashi,Two-handed,"$62,529",,,,1,,,,,02-10-2017,,,,2017,,,,,,,,,,,,,,,
39,29 (23-05-1990),United Kingdom,Right-handed,Wikipedia,32 (1349),32 (20-01-2020),Daniel Evans,One-handed,"$2,301,746",175 cm,Hard 32%,2006,13,Yes,48 (1941),40 (30-01-2017),1946 (17-03-2017),12-01-2020,,,,,,,,,,,,,,1,,,,,
40,25 (16-02-1994),France,Right-handed,Wikipedia,84 (649),80 (07-10-2019),Gregoire Barrere,Two-handed,"$827,193",183 cm,Hard 20%,2012,5,Yes,134 (1773),119 (23-09-2019),1794 (23-09-2019),12-01-2020,,,,,,,,,,,,,,,,,,,
41,28 (29-03-1991),"Taiwan, Province of China",Right-handed,Wikipedia,314 (126),164 (14-05-2012),Tsung Hua Yang,Two-handed,"$485,912",,Hard 100%,2006,8,,,208 (18-07-2011),1606 (17-04-2012),24-09-2012,,,,2012,,,,,,,,,,,,,,,
42,21 (26-06-1998),France,Left-handed,Wikipedia,43 (1130),43 (20-01-2020),Ugo Humbert,Two-handed,"$1,062,355",,Grass 58%,2016,3,Yes,53 (1924),53 (20-01-2020),1924 (20-01-2020),13-01-2020,1,489 (1),2020,,,,,,,,,,,,,,,,
43,26 (18-04-1993),Ecuador,Left-handed,Wikipedia,374 (99),371 (06-01-2020),Diego Hidalgo,Two-handed,"$60,865",,,,1,,,,,,,,,,,,,,,,,,,,,,,,
44,32 (06-04-1987),Netherlands,Right-handed,Wikipedia,161 (316),33 (30-07-2012),Robin Haase,Two-handed,"$7,114,496",190 cm,Clay 19%,2005,13,Yes,78 (1860),44 (26-09-2011),1946 (12-09-2011),26-08-2019,2,357 (3),2011,,,,,,,,,,,,,,,,
45,23 (23-03-1996),France,,Wikipedia,268 (160),267 (06-01-2020),Hugo Grenier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,34 (07-08-1985),Spain,Right-handed,Wikipedia,408 (84),48 (18-03-2013),Daniel Gimeno Traver,Two-handed,"$3,186,839",185 cm,Clay 55%,2004,14,,,62 (13-09-2010),1887 (13-09-2010),30-04-2018,,,,2018,,,,,,,,,,,,,,,
47,27 (07-05-1992),United States,Right-handed,Wikipedia,304 (131),40 (17-07-2017),Ryan Harrison,Two-handed,"US$4,660,132",183 cm,Hard 22%,2008,11,Yes,85 (1845),38 (27-02-2017),1953 (05-03-2018),08-04-2019,1,489 (1),2017,,,,,,,,,,,,ryanharrisontennis.com,,,,
48,23 (06-06-1996),Cyprus,Right-handed,Wikipedia,467 (66),433 (21-10-2019),Michail Pervolarakis,Two-handed,"$29,228",,,,1,Yes,,,,,,,,,,,,,,,,,,,,,,,
49,35 (21-02-1984),Italy,Right-handed,Wikipedia,85 (646),18 (28-01-2013),Andreas Seppi,Two-handed,"US$ 10,581,476",190 cm,Grass 19%,2002,18,Yes,71 (1879),21 (03-08-2015),2029 (08-07-2013),13-01-2020,3,293 (5),2012,,,,,,,,,,,,andreasseppi.com,,,,
50,29 (12-09-1990),France,Right-handed,Wikipedia,399 (89),250 (07-11-2016),Sadio Doumbia,One-handed,"$ 136,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,28 (18-05-1991),Germany,Right-handed,Wikipedia,453 (69),406 (20-05-2019),Tobias Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,27 (16-08-1992),Argentina,Right-handed,Wikipedia,14 (2130),11 (11-06-2018),Diego Sebastian Schwartzman,Two-handed,"$7,217,264",170 cm,"Slow (H, Cl) 35%",2010,8,Yes,25 (2025),18 (30-09-2019),2066 (09-09-2019),28-10-2019,3,222 (9),2019,,,,,,,,,,,,,,,,
53,23 (08-04-1996),Cyprus,Right-handed,Wikipedia,494 (60),378 (31-12-2018),Petros Chrysochos,Two-handed,"$33,471",,,,3,,,,,21-08-2017,,,,2017,,,,,,,,,,,,,,,
54,26 (13-07-1993),Italy,,Wikipedia,422 (79),317 (24-12-2018),Riccardo Bonadio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,25 (03-09-1994),Serbia,Right-handed,Wikipedia,244 (193),159 (09-05-2016),Pedja Krstin,Two-handed,"$381,369",,,,3,Yes,,,,08-04-2019,,,,,,,,,,,,,,,,,,,
56,27 (27-02-1992),Serbia,Right-handed,Wikipedia,41 (1158),26 (23-04-2018),Filip Krajinovic,Two-handed,"US$3,062,847",185 cm,None 12%,2008,11,Yes,32 (1985),29 (13-05-2019),2000 (10-06-2019),06-01-2020,,400 (2),2017,,,,,,,,,,,,,,,,
57,28 (12-07-1991),Spain,Right-handed,Wikipedia,30 (1422),10 (11-09-2017),Pablo Carreno Busta,Two-handed,"US$ 8,892,564",188 cm,"Slow (H, Cl) 53%",2011,9,Yes,30 (2002),21 (12-06-2017),2071 (12-06-2017),12-01-2020,4,202 (10),2017,,,,,,,,,,,1,,,,,
58,23 (06-09-1996),Argentina,Right-handed,Wikipedia,468 (66),405 (05-08-2019),Jordi Arconada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,26 (28-08-1993),Austria,Right-handed,Wikipedia,99 (574),99 (13-01-2020),Dennis Novak,Two-handed,"$709,278",,Clay 28%,2011,7,Yes,133 (1773),115 (22-10-2018),1802 (25-09-2018),21-10-2019,,,,,,,,,,,,,,,,,,,
60,22 (08-04-1997),Russian Federation,Right-handed,Wikipedia,440 (73),335 (24-12-2018),Evgeny Tyurnev,Two-handed,"$89,281",,,,1,,,,,18-09-2017,,,,2017,,,,,,,,,,,,,,,
61,26 (04-12-1993),Russian Federation,Right-handed,Wikipedia,434 (74),421 (25-11-2019),Ronald Slobodchikov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,33 (03-06-1986),Spain,Left-handed,Wikipedia,1 (10235),1 (18-08-2008),Rafael Nadal,Two-handed,"US$119,601,561",185 cm,Clay 39%,2001,19,Yes,1 (2406),1 (16-06-2008),2552 (24-09-2013),11-11-2019,84,3 (805),2010,,35,"Manacor, Mallorca, Spain","Manacor, Mallorca, Spain",85 kg,Carlos Moya,Nadal,@RafaelNadal,"Rafa, Bull",19,5,rafaelnadal.com,,1,208,
63,27 (15-03-1992),Argentina,Right-handed,Wikipedia,278 (146),78 (09-01-2017),Renzo Olivo,Two-handed,"US$826,084",,Clay 36%,2009,5,,,108 (17-10-2016),1805 (15-02-2016),26-02-2018,,,,2018,,,,,,,,,,1,renzoolivo.com,,,,
64,22 (19-03-1997),Norway,Right-handed,Wikipedia,344 (114),298 (14-10-2019),Viktor Durasovic,Two-handed,"$71,874",,Hard 100%,,6,Yes,,,,,,,,,,,,,,,,,,,,,,,
65,32 (02-04-1987),Germany,Right-handed,Wikipedia,213 (223),85 (15-08-2011),Matthias Bachinger,Two-handed,"$1,563,471",188 cm,"Slow (H, Cl) 32%",2005,11,Yes,105 (1821),102 (02-02-2015),1825 (25-02-2019),29-07-2019,,,,,,,,,,,,,,,,,,,
66,27 (22-09-1992),Argentina,Right-handed,Wikipedia,204 (237),195 (16-09-2019),Facundo Mena,Two-handed,"$142,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,29 (17-10-1990),El Salvador,Right-handed,Wikipedia,358 (108),139 (02-07-2018),Marcelo Arevalo,Two-handed,"$627,102",,Hard 64%,2012,12,Yes,118 (1795),96 (19-06-2017),1825 (18-04-2017),11-02-2019,,,,,,,,,,,,,,,,,,,
68,29 (09-05-1990),Russian Federation,Right-handed,Wikipedia,106 (522),65 (08-07-2013),Evgeny Donskoy,Two-handed,"US$2,431,474",185 cm,Hard 32%,2007,12,Yes,129 (1782),92 (26-10-2015),1836 (26-10-2015),14-10-2019,,,,,,,,,,,,,,,,,,,
69,34 (24-03-1985),Portugal,Right-handed,Wikipedia,461 (67),62 (25-04-2011),Frederico Gil,Two-handed,"$1,453,933",178 cm,Clay 63%,2003,10,,,60 (25-04-2011),1897 (17-04-2011),09-07-2012,,,,2012,,,,,,,,,,,,,,,
70,23 (07-09-1996),Turkey,Right-handed,Wikipedia,323 (121),322 (06-01-2020),Altug Celikbilek,Two-handed,"$64,275",,,,4,Yes,,,,24-06-2019,,,,,,,,,,,,,,,,,,,
71,20 (17-06-1999),Argentina,Right-handed,Wikipedia,409 (84),349 (15-10-2018),Camilo Ugo Carabelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,26 (23-03-1993),Spain,Right-handed,Wikipedia,83 (664),72 (19-02-2018),Roberto Carballes Baena,Two-handed,"US$1,701,922",,Clay 53%,2011,7,Yes,90 (1841),90 (23-09-2019),1842 (21-10-2019),14-10-2019,1,489 (1),2018,,,,,,,,,,,,,,,,
73,19 (20-03-2000),Spain,Right-handed,Wikipedia,209 (232),174 (07-10-2019),Nicola Kuhn,Two-handed,"$191,218",,,2017,3,Yes,,,,22-04-2019,,,,,,,,,,,,,,,,,,,
74,20 (02-04-1999),"Taiwan, Province of China",Right-handed,Wikipedia,471 (65),462 (21-10-2019),Yu Hsiou Hsu,Two-handed,"$12,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,19 (31-05-2000),Netherlands,Right-handed,Wikipedia,437 (73),423 (04-11-2019),Jesper De Jong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,23 (02-07-1996),Netherlands,Right-handed,Wikipedia,175 (288),161 (16-09-2019),Tallon Griekspoor,Two-handed,"$311,015",,,,3,Yes,,,,11-02-2019,,,,,,,,,,,,,,,,,,,
77,19 (10-03-2000),Brazil,Right-handed,Wikipedia,205 (235),205 (06-01-2020),Thiago Seyboth Wild,Two-handed,"$89,517",,,2018,2,Yes,,,,25-02-2019,,,,,,,,,,,,,,,,,,,
78,26 (24-04-1993),France,Right-handed,Wikipedia,383 (95),234 (07-03-2016),Maxime Chazal,One-handed,"$129,344",,,2010,,,,,,,,,,,,,,,,,,,,,,,,,
79,32 (08-09-1987),Ukraine,Right-handed,Wikipedia,255 (180),49 (26-09-2016),Illya Marchenko,Two-handed,"US$1,857,469",185 cm,Hard 50%,2005,11,Yes,,72 (18-01-2016),1865 (11-01-2016),17-07-2017,,,,,,,,,,,,,,,,,,,
80,25 (13-01-1995),Argentina,Right-handed,Wikipedia,394 (90),375 (22-10-2018),Gonzalo Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,31 (14-04-1988),Spain,Right-handed,Wikipedia,9 (2630),9 (04-11-2019),Roberto Bautista Agut,Two-handed,"$12,067,808",183 cm,Grass 22%,2005,11,Yes,16 (2080),9 (15-07-2019),2135 (17-10-2016),28-10-2019,9,151 (18),2019,,,,,,,,,,,1,,,,,
82,28 (05-08-1991),Argentina,Right-handed,Wikipedia,136 (399),70 (28-01-2019),Guido Andreozzi,Two-handed,"$1,226,601",,Hard 24%,2008,6,Yes,165 (1716),158 (15-04-2019),1740 (15-04-2019),15-07-2019,,,,,,,,,,,,,,,,,,,
83,25 (30-01-1994),Canada,Right-handed,Wikipedia,288 (141),161 (21-05-2018),Filip Peliwo,Two-handed,"US$306,176",,,2013,3,,,,,10-08-2015,,,,2015,,,,,,,,,,,,,,,
84,26 (16-06-1993),"Bolivia, Plurinational State of",Right-handed,Wikipedia,73 (743),72 (13-01-2020),Hugo Dellien,Two-handed,"$397,175",,None 5%,2009,7,Yes,145 (1763),127 (23-09-2019),1781 (20-09-2019),21-10-2019,,,,,,,,,,,,,,,,,,,
85,31 (15-06-1988),Canada,Right-handed,Wikipedia,180 (279),110 (25-06-2018),Peter Polansky,Two-handed,"US$1,447,596",180 cm,Hard 15%,2007,13,Yes,179 (1679),120 (19-06-2011),1778 (15-03-2011),05-08-2019,,,,,,,,,,,,,,,,,,,
86,26 (16-07-1993),Germany,Right-handed,Wikipedia,163 (314),129 (16-10-2017),Oscar Otte,,"$472,984",,,2011,2,Yes,,,,14-10-2019,,,,,,,,,,,,,,,,,,,
87,27 (05-01-1993),Australia,Left-handed,Wikipedia,140 (377),125 (04-03-2019),Alex Bolt,Two-handed,"$849,099",,Hard 25%,2009,5,Yes,125 (1787),125 (20-01-2020),1787 (19-01-2020),12-01-2020,,,,,,,,,,,,,,,,,,,
88,27 (08-02-1992),Hungary,Right-handed,Wikipedia,67 (827),31 (04-03-2019),Marton Fucsovics,Two-handed,"US$2,706,806",,"Slow (H, Cl) 36%",2009,10,Yes,67 (1887),33 (04-03-2019),1979 (04-03-2019),06-01-2020,1,489 (1),2018,,,,,,,,,,,,,,,,
89,16 (05-05-2003),Spain,,Wikipedia,446 (70),446 (20-01-2020),Carlos Alcaraz Garfia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,24 (10-11-1995),United Kingdom,,Wikipedia,387 (94),359 (04-11-2019),Ryan Peniston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,22 (01-02-1997),France,Right-handed,Wikipedia,229 (207),226 (13-01-2020),Alexandre Muller,Two-handed,"$134,030",,,,2,Yes,,,,27-05-2019,,,,,,,,,,,,,,,,,,,
92,19 (11-09-2000),France,Right-handed,Wikipedia,370 (102),358 (18-11-2019),Rayane Roumane,Two-handed,"$32,282",,,,1,Yes,,,,16-09-2019,,,,,,,,,,,,,,,,,,,
93,20 (19-04-1999),France,Left-handed,Wikipedia,70 (800),70 (13-01-2020),Corentin Moutet,Two-handed,"$860,421",,None 5%,2016,3,Yes,87 (1843),87 (13-01-2020),1843 (13-01-2020),06-01-2020,,,,,,,,,,,,,,,,,,,
94,32 (12-02-1987),France,Right-handed,Wikipedia,58 (920),25 (28-01-2013),Jeremy Chardy,Two-handed,"$8,658,443",188 cm,All-Rounder 9%,2005,15,Yes,39 (1965),23 (14-09-2015),2016 (14-09-2015),12-01-2020,1,357 (3),2009,,,,,,,,,,,1,,,,,
95,22 (20-04-1997),Germany,Right-handed,Wikipedia,7 (3345),3 (06-11-2017),Alexander Zverev,Two-handed,"US$20,028,563 24th all-time in earnings",198 cm,Clay 14%,2013,8,Yes,13 (2096),5 (14-08-2017),2231 (14-08-2017),11-11-2019,11,65 (54),2018,,3,"Hamburg, Germany","Monte-Carlo, Monaco",86 kg,Alexander Zverev Sr.,,,Sascha,,,,,,,1
96,25 (01-12-1994),Italy,Right-handed,Wikipedia,117 (473),114 (06-01-2020),Gianluca Mager,Two-handed,"$200,642",,,,2,Yes,,,,14-10-2019,,,,,,,,,,,,,,,,,,,
97,32 (17-01-1988),Spain,Left-handed,Wikipedia,42 (1130),17 (08-05-2017),Albert Ramos,Two-handed,"US$7,062,030",188 cm,Clay 35%,2007,11,Yes,45 (1946),25 (01-05-2017),2014 (01-05-2017),12-01-2020,2,293 (5),2016,,,,,,,,,,,,,,,,
98,26 (12-01-1994),United States,Right-handed,Wikipedia,164 (309),159 (18-02-2019),Mitchell Krueger,Two-handed,"$588,335",,Hard 100%,2012,4,,,184 (13-05-2019),1670 (28-01-2019),14-01-2019,,,,2019,,,,,,,,,,,,,,,
99,20 (11-01-2000),Poland,,Wikipedia,438 (73),434 (06-01-2020),Daniel Michalski,,"$2,893",,,,1,,,,,,,,,,,,,,,,,,,,,,,,
100,28 (14-04-1991),Spain,,Wikipedia,242 (195),232 (18-11-2019),Roberto Ortega Olmedo,,"$209,276",,,,1,,,,,16-05-2016,,,,2016,,,,,,,,,,,,,,,
101,28 (03-06-1991),Spain,Right-handed,Wikipedia,182 (277),154 (16-07-2018),Enrique Lopez Perez,Two-handed,"US$444,563",,,2009,1,,,,,18-07-2016,,,,2016,,,,,,,,,,,,,,,
102,38 (21-01-1982),France,Right-handed,Wikipedia,191 (260),37 (05-05-2014),Nicolas Mahut,One-handed,"US$10,262,279",190 cm,Grass 59%,2000,20,Yes,69 (1886),35 (10-10-2016),1970 (23-09-2013),17-06-2019,4,325 (4),2013,,,,,,,,,,,1,,,,,
103,33 (10-02-1986),Serbia,Right-handed,Wikipedia,159 (325),12 (06-06-2011),Viktor Troicki,Two-handed,"US$8,638,698",193 cm,All-Rounder 4%,2006,14,Yes,82 (1850),15 (03-04-2011),2091 (17-04-2011),15-07-2019,3,264 (6),2010,,,"Belgrade, Serbia","Belgrade, Serbia",86 kg,Boris Pasanski,viktortroicki,@troicki_viktor,,,1,viktortroicki.com,2,,,
104,29 (14-07-1990),Belarus,Right-handed,Wikipedia,338 (116),129 (19-06-2017),Uladzimir Ignatik,Two-handed,"$640,041",,Hard 52%,2007,8,,,116 (10-09-2012),1780 (20-04-2012),10-08-2008,,,,2008,,,,,,,,,,,,,,,
105,24 (10-08-1995),Netherlands,,Wikipedia,379 (97),260 (17-12-2018),Jelle Sels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,24 (23-07-1995),France,Right-handed,Wikipedia,329 (118),319 (12-08-2019),Arthur Rinderknech,Two-handed,"$64,463",,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,25 (16-01-1995),United Kingdom,Right-handed,Wikipedia,407 (84),319 (16-09-2019),Evan Hoyt,Two-handed,"$83,171",,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,24 (23-07-1995),Tunisia,Right-handed,Wikipedia,341 (115),303 (18-11-2019),Skander Mansouri,Two-handed,"$70,103",,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,21 (27-07-1998),United Kingdom,Right-handed,Wikipedia,155 (335),153 (22-07-2019),Jay Clarke,Two-handed,"$433,732",,,2016,2,Yes,,,,01-07-2019,,,,,,,,,,,,,,,,,,,
110,22 (02-12-1997),"Korea, Republic of",Right-handed,Wikipedia,87 (637),81 (09-09-2019),Soon Woo Kwon,Two-handed,"$488,866",,Hard 100%,,3,Yes,146 (1763),144 (10-01-2020),1763 (21-10-2019),14-10-2019,,,,,,,,,,,,,,,,,,,
